id,client_id,card_number,card_type,issue_date,expiry_date,status
1,1,4276010011223314,МИР,2020-01-15,2025-01-15,Активный
2,1,5276010011223355,Mastercard,2019-03-20,2024-03-20,Активный
3,2,4276020011223366,МИР,2021-05-10,2026-05-10,Активный
4,3,5276030011223377,Mastercard,2018-07-15,2023-07-15,Неактивный
5,4,4276040011223388,МИР,2022-02-28,2027-02-28,Активный
6,5,5276050011223399,Mastercard,2020-09-12,2025-09-12,Активный
7,6,4276060011223400,МИР,2019-11-05,2024-11-05,Активный
8,7,5276070011223411,Mastercard,2021-08-20,2026-08-20,Активный
9,8,4276080011223422,МИР,2017-04-18,2022-04-18,Неактивный
10,9,5276090011223433,Mastercard,2023-01-30,2028-01-30,Активный
11,10,4276100011223444,МИР,2020-06-25,2025-06-25,Активный
12,11,5276110011223455,Mastercard,2019-10-08,2024-10-08,Активный
13,12,4276120011223466,МИР,2022-03-14,2027-03-14,Активный
14,13,5276130011223477,Mastercard,2018-12-03,2023-12-03,Неактивный
15,14,4276140011223488,МИР,2021-07-19,2026-07-19,Активный
16,15,5276150011223499,Mastercard,2020-04-22,2025-04-22,Активный
17,16,4276160011223500,МИР,2019-02-11,2024-02-11,Активный
18,17,5276170011223511,Mastercard,2022-09-05,2027-09-05,Активный
19,18,4276180011223522,МИР,2023-06-18,2028-06-18,Активный
20,19,5276190011223533,Mastercard,2021-01-25,2026-01-25,Активный
21,20,4276200011223544,МИР,2020-08-30,2025-08-30,Активный
22,21,5276210011223555,Mastercard,2019-05-14,2024-05-14,Активный
23,22,4276220011223566,МИР,2022-11-27,2027-11-27,Активный
24,23,5276230011223577,Mastercard,2018-06-09,2023-06-09,Неактивный
25,24,4276240011223588,МИР,2021-03-22,2026-03-22,Активный
26,25,5276250011223599,Mastercard,2020-10-15,2025-10-15,Активный
27,26,4276260011223600,МИР,2019-07-28,2024-07-28,Активный
28,27,5276270011223611,Mastercard,2022-04-11,2027-04-11,Активный
29,28,4276280011223622,МИР,2023-12-24,2028-12-24,Активный
30,29,5276290011223633,Mastercard,2021-09-07,2026-09-07,Активный
31,30,4276300011223644,МИР,2020-02-19,2025-02-19,Активный
32,31,5276310011223655,Mastercard,2019-08-02,2024-08-02,Активный
33,32,4276320011223666,МИР,2022-05-16,2027-05-16,Активный
34,33,5276330011223677,Mastercard,2018-01-29,2023-01-29,Неактивный
35,34,4276340011223688,МИР,2021-10-12,2026-10-12,Активный
36,35,5276350011223699,Mastercard,2020-12-05,2025-12-05,Активный
37,36,4276360011223700,МИР,2019-04-18,2024-04-18,Активный
38,37,5276370011223711,Mastercard,2022-07-31,2027-07-31,Активный
39,38,4276380011223722,МИР,2023-03-14,2028-03-14,Активный
40,39,5276390011223733,Mastercard,2021-06-27,2026-06-27,Активный
